# Team 0: AllInAgent, Team 1: PlayerAgent
hand_number,street,active_team,team_0_bankroll,team_1_bankroll,action_type,action_amount,team_0_cards,team_1_cards,board_cards,team_0_discarded,team_1_discarded,team_0_bet,team_1_bet
16,Turn,1,-286,286,CHECK,0,"['4h', '3s']","['Ah', '9s']","['2d', '7d', '5d', '2h']",,,100,100
16,River,0,-286,286,CHECK,0,"['4h', '3s']","['Ah', '9s']","['2d', '7d', '5d', '2h', '7h']",,,100,100
16,River,1,-286,286,CHECK,0,"['4h', '3s']","['Ah', '9s']","['2d', '7d', '5d', '2h', '7h']",,,100,100
17,Pre-Flop,1,-386,386,CALL,0,"['3d', '7s']","['9h', '2d']","['8d', '5d']",,,1,1
17,Pre-Flop,0,-386,386,RAISE,98,"['3d', '7s']","['9h', '2d']","['8d', '5d']",,,2,2
17,Pre-Flop,1,-386,386,DISCARD,0,"['3d', '7s']","['9h', '2d']","['8d', '5d']",,,2,2
17,Pre-Flop,1,-386,386,FOLD,0,"['3d', '7s']","['5h', '2d']","['8d', '5d']",,9h,2,2
18,Pre-Flop,0,-384,384,RAISE,98,"['2d', '5s']","['Ah', '3h']","['4s', '6d']",,,1,1
18,Pre-Flop,1,-384,384,CALL,0,"['2d', '5s']","['Ah', '3h']","['4s', '6d']",,,2,2
18,Flop,0,-384,384,CHECK,0,"['2d', '5s']","['Ah', '3h']","['4s', '6d', '9d']",,,100,100
18,Flop,1,-384,384,CHECK,0,"['2d', '5s']","['Ah', '3h']","['4s', '6d', '9d']",,,100,100
18,Turn,0,-384,384,CHECK,0,"['2d', '5s']","['Ah', '3h']","['4s', '6d', '9d', 'As']",,,100,100
18,Turn,1,-384,384,CHECK,0,"['2d', '5s']","['Ah', '3h']","['4s', '6d', '9d', 'As']",,,100,100
18,River,0,-384,384,CHECK,0,"['2d', '5s']","['Ah', '3h']","['4s', '6d', '9d', 'As', '8s']",,,100,100
18,River,1,-384,384,CHECK,0,"['2d', '5s']","['Ah', '3h']","['4s', '6d', '9d', 'As', '8s']",,,100,100
19,Pre-Flop,1,-484,484,CALL,0,"['9s', '2d']","['4h', '7d']","['2h', '8s']",,,1,1
19,Pre-Flop,0,-484,484,RAISE,98,"['9s', '2d']","['4h', '7d']","['2h', '8s']",,,2,2
19,Pre-Flop,1,-484,484,DISCARD,0,"['9s', '2d']","['4h', '7d']","['2h', '8s']",,,2,2
19,Pre-Flop,1,-484,484,FOLD,0,"['9s', '2d']","['4d', '7d']","['2h', '8s']",,4h,2,2
20,Pre-Flop,0,-482,482,RAISE,98,"['3h', 'Ad']","['3s', '6d']","['7d', '4h']",,,1,1
20,Pre-Flop,1,-482,482,DISCARD,0,"['3h', 'Ad']","['3s', '6d']","['7d', '4h']",,,2,2
20,Pre-Flop,1,-482,482,FOLD,0,"['3h', 'Ad']","['4d', '6d']","['7d', '4h']",,3s,2,2
21,Pre-Flop,1,-480,480,CALL,0,"['6s', '7s']","['7h', '3h']","['6h', 'As']",,,1,1
21,Pre-Flop,0,-480,480,RAISE,98,"['6s', '7s']","['7h', '3h']","['6h', 'As']",,,2,2
21,Pre-Flop,1,-480,480,DISCARD,0,"['6s', '7s']","['7h', '3h']","['6h', 'As']",,,2,2
21,Pre-Flop,1,-480,480,FOLD,0,"['6s', '7s']","['9d', '3h']","['6h', 'As']",,7h,2,2
22,Pre-Flop,0,-478,478,RAISE,98,"['9d', '3h']","['3s', '8h']","['6s', '5d']",,,1,1
22,Pre-Flop,1,-478,478,DISCARD,0,"['9d', '3h']","['3s', '8h']","['6s', '5d']",,,2,2
22,Pre-Flop,1,-478,478,FOLD,0,"['9d', '3h']","['4d', '8h']","['6s', '5d']",,3s,2,2
23,Pre-Flop,1,-476,476,CALL,0,"['8d', '2d']","['3d', '3s']","['5d', '2h']",,,1,1
23,Pre-Flop,0,-476,476,RAISE,98,"['8d', '2d']","['3d', '3s']","['5d', '2h']",,,2,2
23,Pre-Flop,1,-476,476,DISCARD,0,"['8d', '2d']","['3d', '3s']","['5d', '2h']",,,2,2
23,Pre-Flop,1,-476,476,FOLD,0,"['8d', '2d']","['4h', '3s']","['5d', '2h']",,3d,2,2
24,Pre-Flop,0,-474,474,RAISE,98,"['Ah', '6h']","['2s', '3h']","['9h', '8s']",,,1,1
24,Pre-Flop,1,-474,474,DISCARD,0,"['Ah', '6h']","['2s', '3h']","['9h', '8s']",,,2,2
24,Pre-Flop,1,-474,474,FOLD,0,"['Ah', '6h']","['9d', '3h']","['9h', '8s']",,2s,2,2
25,Pre-Flop,1,-472,472,CALL,0,"['4h', '5s']","['9h', '7d']","['2d', '6d']",,,1,1
25,Pre-Flop,0,-472,472,RAISE,98,"['4h', '5s']","['9h', '7d']","['2d', '6d']",,,2,2
25,Pre-Flop,1,-472,472,CALL,0,"['4h', '5s']","['9h', '7d']","['2d', '6d']",,,2,2
25,Flop,1,-472,472,CHECK,0,"['4h', '5s']","['9h', '7d']","['2d', '6d', '9s']",,,100,100
25,Flop,0,-472,472,CHECK,0,"['4h', '5s']","['9h', '7d']","['2d', '6d', '9s']",,,100,100
25,Turn,1,-472,472,CHECK,0,"['4h', '5s']","['9h', '7d']","['2d', '6d', '9s', '4d']",,,100,100
25,Turn,0,-472,472,CHECK,0,"['4h', '5s']","['9h', '7d']","['2d', '6d', '9s', '4d']",,,100,100
25,River,1,-472,472,CHECK,0,"['4h', '5s']","['9h', '7d']","['2d', '6d', '9s', '4d', '2s']",,,100,100
25,River,0,-472,472,CHECK,0,"['4h', '5s']","['9h', '7d']","['2d', '6d', '9s', '4d', '2s']",,,100,100
26,Pre-Flop,0,-572,572,RAISE,98,"['4s', '9h']","['6d', '5d']","['3d', '9d']",,,1,1
26,Pre-Flop,1,-572,572,CALL,0,"['4s', '9h']","['6d', '5d']","['3d', '9d']",,,2,2
26,Flop,0,-572,572,CHECK,0,"['4s', '9h']","['6d', '5d']","['3d', '9d', '7h']",,,100,100
26,Flop,1,-572,572,CHECK,0,"['4s', '9h']","['6d', '5d']","['3d', '9d', '7h']",,,100,100
26,Turn,0,-572,572,CHECK,0,"['4s', '9h']","['6d', '5d']","['3d', '9d', '7h', '4d']",,,100,100
26,Turn,1,-572,572,CHECK,0,"['4s', '9h']","['6d', '5d']","['3d', '9d', '7h', '4d']",,,100,100
26,River,0,-572,572,CHECK,0,"['4s', '9h']","['6d', '5d']","['3d', '9d', '7h', '4d', '3h']",,,100,100
26,River,1,-572,572,CHECK,0,"['4s', '9h']","['6d', '5d']","['3d', '9d', '7h', '4d', '3h']",,,100,100
27,Pre-Flop,1,-672,672,CALL,0,"['5d', '7h']","['8d', '5h']","['7d', '5s']",,,1,1
27,Pre-Flop,0,-672,672,RAISE,98,"['5d', '7h']","['8d', '5h']","['7d', '5s']",,,2,2
27,Pre-Flop,1,-672,672,CALL,0,"['5d', '7h']","['8d', '5h']","['7d', '5s']",,,2,2
27,Flop,1,-672,672,CHECK,0,"['5d', '7h']","['8d', '5h']","['7d', '5s', '8h']",,,100,100
27,Flop,0,-672,672,CHECK,0,"['5d', '7h']","['8d', '5h']","['7d', '5s', '8h']",,,100,100
27,Turn,1,-672,672,CHECK,0,"['5d', '7h']","['8d', '5h']","['7d', '5s', '8h', 'Ah']",,,100,100
27,Turn,0,-672,672,CHECK,0,"['5d', '7h']","['8d', '5h']","['7d', '5s', '8h', 'Ah']",,,100,100
27,River,1,-672,672,CHECK,0,"['5d', '7h']","['8d', '5h']","['7d', '5s', '8h', 'Ah', 'As']",,,100,100
27,River,0,-672,672,CHECK,0,"['5d', '7h']","['8d', '5h']","['7d', '5s', '8h', 'Ah', 'As']",,,100,100
28,Pre-Flop,0,-772,772,RAISE,98,"['7s', '5d']","['8d', 'Ad']","['8h', '9d']",,,1,1
28,Pre-Flop,1,-772,772,CALL,0,"['7s', '5d']","['8d', 'Ad']","['8h', '9d']",,,2,2
28,Flop,0,-772,772,CHECK,0,"['7s', '5d']","['8d', 'Ad']","['8h', '9d', '4d']",,,100,100
28,Flop,1,-772,772,CHECK,0,"['7s', '5d']","['8d', 'Ad']","['8h', '9d', '4d']",,,100,100
28,Turn,0,-772,772,CHECK,0,"['7s', '5d']","['8d', 'Ad']","['8h', '9d', '4d', '9h']",,,100,100
28,Turn,1,-772,772,CHECK,0,"['7s', '5d']","['8d', 'Ad']","['8h', '9d', '4d', '9h']",,,100,100
28,River,0,-772,772,CHECK,0,"['7s', '5d']","['8d', 'Ad']","['8h', '9d', '4d', '9h', '3s']",,,100,100
28,River,1,-772,772,CHECK,0,"['7s', '5d']","['8d', 'Ad']","['8h', '9d', '4d', '9h', '3s']",,,100,100
29,Pre-Flop,1,-872,872,CALL,0,"['4s', '6h']","['9d', '3h']","['7h', '5s']",,,1,1
29,Pre-Flop,0,-872,872,RAISE,98,"['4s', '6h']","['9d', '3h']","['7h', '5s']",,,2,2
29,Pre-Flop,1,-872,872,DISCARD,0,"['4s', '6h']","['9d', '3h']","['7h', '5s']",,,2,2
29,Pre-Flop,1,-872,872,CALL,0,"['4s', '6h']","['9d', 'As']","['7h', '5s']",,3h,2,2
29,Flop,1,-872,872,CHECK,0,"['4s', '6h']","['9d', 'As']","['7h', '5s', '8s']",,3h,100,100
29,Flop,0,-872,872,CHECK,0,"['4s', '6h']","['9d', 'As']","['7h', '5s', '8s']",,3h,100,100
29,Turn,1,-872,872,CHECK,0,"['4s', '6h']","['9d', 'As']","['7h', '5s', '8s', '9h']",,3h,100,100
29,Turn,0,-872,872,CHECK,0,"['4s', '6h']","['9d', 'As']","['7h', '5s', '8s', '9h']",,3h,100,100
29,River,1,-872,872,CHECK,0,"['4s', '6h']","['9d', 'As']","['7h', '5s', '8s', '9h', '4d']",,3h,100,100
29,River,0,-872,872,CHECK,0,"['4s', '6h']","['9d', 'As']","['7h', '5s', '8s', '9h', '4d']",,3h,100,100
30,Pre-Flop,0,-772,772,RAISE,98,"['2s', '9h']","['7d', '4d']","['2d', '8h']",,,1,1
30,Pre-Flop,1,-772,772,DISCARD,0,"['2s', '9h']","['7d', '4d']","['2d', '8h']",,,2,2
30,Pre-Flop,1,-772,772,CALL,0,"['2s', '9h']","['7d', '8d']","['2d', '8h']",,4d,2,2
30,Flop,0,-772,772,CHECK,0,"['2s', '9h']","['7d', '8d']","['2d', '8h', '8s']",,4d,100,100
30,Flop,1,-772,772,CHECK,0,"['2s', '9h']","['7d', '8d']","['2d', '8h', '8s']",,4d,100,100
30,Turn,0,-772,772,CHECK,0,"['2s', '9h']","['7d', '8d']","['2d', '8h', '8s', '7s']",,4d,100,100
30,Turn,1,-772,772,CHECK,0,"['2s', '9h']","['7d', '8d']","['2d', '8h', '8s', '7s']",,4d,100,100
30,River,0,-772,772,CHECK,0,"['2s', '9h']","['7d', '8d']","['2d', '8h', '8s', '7s', '9s']",,4d,100,100
30,River,1,-772,772,CHECK,0,"['2s', '9h']","['7d', '8d']","['2d', '8h', '8s', '7s', '9s']",,4d,100,100
31,Pre-Flop,1,-872,872,CALL,0,"['9s', '8d']","['2d', '6d']","['Ad', '3d']",,,1,1
31,Pre-Flop,0,-872,872,RAISE,98,"['9s', '8d']","['2d', '6d']","['Ad', '3d']",,,2,2
31,Pre-Flop,1,-872,872,DISCARD,0,"['9s', '8d']","['2d', '6d']","['Ad', '3d']",,,2,2
31,Pre-Flop,1,-872,872,FOLD,0,"['9s', '8d']","['7s', '6d']","['Ad', '3d']",,2d,2,2
32,Pre-Flop,0,-870,870,RAISE,98,"['9s', '5h']","['7d', '6d']","['4s', '7h']",,,1,1
32,Pre-Flop,1,-870,870,CALL,0,"['9s', '5h']","['7d', '6d']","['4s', '7h']",,,2,2
32,Flop,0,-870,870,CHECK,0,"['9s', '5h']","['7d', '6d']","['4s', '7h', '3s']",,,100,100
32,Flop,1,-870,870,CHECK,0,"['9s', '5h']","['7d', '6d']","['4s', '7h', '3s']",,,100,100
32,Turn,0,-870,870,CHECK,0,"['9s', '5h']","['7d', '6d']","['4s', '7h', '3s', '3d']",,,100,100
32,Turn,1,-870,870,CHECK,0,"['9s', '5h']","['7d', '6d']","['4s', '7h', '3s', '3d']",,,100,100
32,River,0,-870,870,CHECK,0,"['9s', '5h']","['7d', '6d']","['4s', '7h', '3s', '3d', '2s']",,,100,100
32,River,1,-870,870,CHECK,0,"['9s', '5h']","['7d', '6d']","['4s', '7h', '3s', '3d', '2s']",,,100,100
33,Pre-Flop,1,-970,970,CALL,0,"['Ad', '2h']","['7s', '7h']","['5h', '4h']",,,1,1
33,Pre-Flop,0,-970,970,RAISE,98,"['Ad', '2h']","['7s', '7h']","['5h', '4h']",,,2,2
33,Pre-Flop,1,-970,970,CALL,0,"['Ad', '2h']","['7s', '7h']","['5h', '4h']",,,2,2
33,Flop,1,-970,970,CHECK,0,"['Ad', '2h']","['7s', '7h']","['5h', '4h', '9s']",,,100,100
33,Flop,0,-970,970,CHECK,0,"['Ad', '2h']","['7s', '7h']","['5h', '4h', '9s']",,,100,100
33,Turn,1,-970,970,CHECK,0,"['Ad', '2h']","['7s', '7h']","['5h', '4h', '9s', '9h']",,,100,100
33,Turn,0,-970,970,CHECK,0,"['Ad', '2h']","['7s', '7h']","['5h', '4h', '9s', '9h']",,,100,100
33,River,1,-970,970,CHECK,0,"['Ad', '2h']","['7s', '7h']","['5h', '4h', '9s', '9h', '5d']",,,100,100
33,River,0,-970,970,CHECK,0,"['Ad', '2h']","['7s', '7h']","['5h', '4h', '9s', '9h', '5d']",,,100,100
34,Pre-Flop,0,-1070,1070,RAISE,98,"['Ad', '3s']","['Ah', '5h']","['9d', 'As']",,,1,1
34,Pre-Flop,1,-1070,1070,CALL,0,"['Ad', '3s']","['Ah', '5h']","['9d', 'As']",,,2,2
34,Flop,0,-1070,1070,CHECK,0,"['Ad', '3s']","['Ah', '5h']","['9d', 'As', '8d']",,,100,100
34,Flop,1,-1070,1070,CHECK,0,"['Ad', '3s']","['Ah', '5h']","['9d', 'As', '8d']",,,100,100
